SOURCE_FILE,SPOT_COUNT,FRAMECOUNT,CHANNEL,MODEL,DATE,SPOTS_PER_FRAME
201222_prhugo889_6dpreg_3Ddrift_YFP_bud41-57_spots.csv,113,38,YFP,PR,,2.973684210526316
201222_prhugo889_6dpreg_3Ddrift_YFP_duct24-35_spots.csv,158,38,YFP,PR,,4.157894736842105
201222_prhugo889_6dpreg_3Ddrift_YFP_duct36-41_spots.csv,291,38,YFP,PR,,7.657894736842105
201222_prhugo889_6dpreg_3Ddrift_YFP_duct42-53_spots.csv,158,38,YFP,PR,,4.157894736842105
201222_prhugo889_6dpreg_3Ddrift_YFP_duct54-66_spots.csv,139,38,YFP,PR,,3.6578947368421053
201222_prhugo889_6dpreg_3Ddrift_YFP_duct67-80_spots.csv,54,38,YFP,PR,,1.4210526315789473
210201_prhugo_963_6dMPA_3Ddrift_bottom_CFP_1-26_spots.csv,318,30,CFP,PR,,10.6
210201_prhugo_963_6dMPA_3Ddrift_bottom_CFP_27-50_spots.csv,169,29,CFP,PR,,5.827586206896552
210201_prhugo_963_6dMPA_3Ddrift_bottom_RFP_1-9_spots.csv,340,30,RFP,PR,,11.333333333333334
210201_prhugo_963_6dMPA_3Ddrift_bottom_RFP_10-14_spots.csv,396,30,RFP,PR,,13.2
210201_prhugo_963_6dMPA_3Ddrift_bottom_RFP_15-28_spots.csv,288,30,RFP,PR,,9.6
210201_prhugo_963_6dMPA_3Ddrift_bottom_RFP_29-50_spots.csv,226,30,RFP,PR,,7.533333333333333
210201_prhugo_963_6dMPA_3Ddrift_bottom_YFP_1-23_spots.csv,308,30,YFP,PR,,10.266666666666667
210201_prhugo_963_6dMPA_3Ddrift_bottom_YFP_24-50_spots.csv,137,30,YFP,PR,,4.566666666666666
210201_prhugo_963_6dMPA_3Ddrift_top_3Ddrift_CFP_16-25_spots.csv,10,10,CFP,PR,,1.0
210201_prhugo_963_6dMPA_3Ddrift_top_3Ddrift_CFP_26-41_spots.csv,80,16,CFP,PR,,5.0
210201_prhugo_963_6dMPA_3Ddrift_top_3Ddrift_CFP_42-62_spots.csv,39,16,CFP,PR,,2.4375
210201_prhugo_963_6dMPA_3Ddrift_top_3Ddrift_RFP_15-22_spots.csv,28,16,RFP,PR,,1.75
210201_prhugo_963_6dMPA_3Ddrift_top_3Ddrift_RFP_23-35_spots.csv,159,16,RFP,PR,,9.9375
210201_prhugo_963_6dMPA_3Ddrift_top_3Ddrift_RFP_36-45_spots.csv,98,16,RFP,PR,,6.125
210201_prhugo_963_6dMPA_3Ddrift_top_3Ddrift_RFP_46-67_spots.csv,78,16,RFP,PR,,4.875
210201_prhugo_963_6dMPA_3Ddrift_top_3Ddrift_RFP_7-14_spots.csv,42,16,RFP,PR,,2.625
210201_prhugo_963_6dMPA_3Ddrift_top_3Ddrift_YFP_17-23_spots.csv,54,16,YFP,PR,,3.375
210201_prhugo_963_6dMPA_3Ddrift_top_3Ddrift_YFP_24-29_spots.csv,73,16,YFP,PR,,4.5625
210201_prhugo_963_6dMPA_3Ddrift_top_3Ddrift_YFP_30-42_spots.csv,98,16,YFP,PR,,6.125
210201_prhugo_963_6dMPA_3Ddrift_top_3Ddrift_YFP_43-47_spots.csv,147,16,YFP,PR,,9.1875
210201_prhugo_963_6dMPA_3Ddrift_top_3Ddrift_YFP_48-56_spots.csv,80,16,YFP,PR,,5.0
